,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
42,DotProduct_DR,DotProduct,MHP_SYCL_GPU,1,strong,0.6918931814618411,691.8931814618411,MHP,SYCL,GPU,2000000000,1,56,1.0,2312.4956898975342
115,DotProduct_DR,DotProduct,MHP_SYCL_GPU,1,weak,0.694245224973135,694.245224973135,MHP,SYCL,GPU,2000000000,1,56,1.0,2304.6611520618158
37,DotProduct_DR,DotProduct,MHP_SYCL_GPU,2,weak,1.3586457430666643,1358.6457430666644,MHP,SYCL,GPU,4000000000,2,112,2.0,2355.28651698207
100,DotProduct_DR,DotProduct,MHP_SYCL_GPU,2,strong,1.3625164578560522,1362.5164578560523,MHP,SYCL,GPU,2000000000,2,112,2.0,1174.2977420747145
24,DotProduct_DR,DotProduct,MHP_SYCL_GPU,3,weak,2.033145845496301,2033.145845496301,MHP,SYCL,GPU,6000000000,3,168,3.0,2360.873427074926
124,DotProduct_DR,DotProduct,MHP_SYCL_GPU,3,strong,2.043166638086142,2043.1666380861418,MHP,SYCL,GPU,2000000000,3,168,3.0,783.0981429389132
105,DotProduct_DR,DotProduct,MHP_SYCL_GPU,4,strong,2.6976926676833615,2697.6926676833614,MHP,SYCL,GPU,2000000000,4,224,4.0,593.0994361095985
135,DotProduct_DR,DotProduct,MHP_SYCL_GPU,4,weak,2.706850641449739,2706.8506414497388,MHP,SYCL,GPU,8000000000,4,224,4.0,2364.371311071777
120,DotProduct_Reference,DotProduct,Reference_GPU,1,strong,0.6937717788106549,693.771778810655,SHP,SYCL,GPU,2000000000,1,56,1.0,2306.2339069814975
7,DotProduct_DR,DotProduct,SHP_SYCL_GPU,1,strong,0.6943473283595865,694.3473283595864,SHP,SYCL,GPU,2000000000,1,56,1.0,2304.322252927856
