,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
43,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,1,strong,0.1922460022707325,192.24600227073248,MHP,SYCL,GPU,2000000000,1,56,1.0,4161.334907101951
116,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,1,weak,0.19252775861530444,192.52775861530444,MHP,SYCL,GPU,2000000000,1,56,1.0,4155.244967030984
38,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,2,weak,0.3105489567652584,310.5489567652584,MHP,SYCL,GPU,4000000000,2,112,2.0,5152.166720075083
101,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,2,strong,0.31033256920851066,310.3325692085107,MHP,SYCL,GPU,2000000000,2,112,2.0,2577.8796020036316
25,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,3,weak,0.46631081928095,466.31081928094994,MHP,SYCL,GPU,6000000000,3,168,3.0,5146.781718898982
125,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,3,strong,0.4624187514808675,462.4187514808675,MHP,SYCL,GPU,2000000000,3,168,3.0,1730.0336490206105
106,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,4,strong,0.6084610831912113,608.4610831912113,MHP,SYCL,GPU,2000000000,4,224,4.0,1314.792387056572
136,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,4,weak,0.6214280764511606,621.4280764511607,MHP,SYCL,GPU,8000000000,4,224,4.0,5149.429388955996
121,Inclusive_Scan_Reference,Inclusive_Scan,Reference_GPU,1,strong,0.19233254523207413,192.33254523207412,SHP,SYCL,GPU,2000000000,1,56,1.0,4159.4624510100275
8,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_GPU,1,strong,0.1912648973745623,191.26489737456228,SHP,SYCL,GPU,2000000000,1,56,1.0,4182.6807269988785
