,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
41,Reduce_DR,Reduce,MHP_SYCL_GPU,1,strong,0.7205108884649971,720.510888464997,MHP,SYCL,GPU,2000000000,1,56,1.0,555.1616310090396
114,Reduce_DR,Reduce,MHP_SYCL_GPU,1,weak,0.7224917888136029,722.4917888136029,MHP,SYCL,GPU,2000000000,1,56,1.0,553.6395100861095
36,Reduce_DR,Reduce,MHP_SYCL_GPU,2,weak,1.4271992451952922,1427.1992451952922,MHP,SYCL,GPU,4000000000,2,112,2.0,560.5384130444459
99,Reduce_DR,Reduce,MHP_SYCL_GPU,2,strong,1.4368887518570235,1436.8887518570234,MHP,SYCL,GPU,2000000000,2,112,2.0,278.37924090020414
23,Reduce_DR,Reduce,MHP_SYCL_GPU,3,weak,2.136540845137384,2136.540845137384,MHP,SYCL,GPU,6000000000,3,168,3.0,561.6555390135018
123,Reduce_DR,Reduce,MHP_SYCL_GPU,3,strong,2.141444200110351,2141.444200110351,MHP,SYCL,GPU,2000000000,3,168,3.0,186.78983089047455
104,Reduce_DR,Reduce,MHP_SYCL_GPU,4,strong,2.8393780664517374,2839.378066451737,MHP,SYCL,GPU,2000000000,4,224,4.0,140.87592093710325
134,Reduce_DR,Reduce,MHP_SYCL_GPU,4,weak,2.8482162015778263,2848.2162015778263,MHP,SYCL,GPU,8000000000,4,224,4.0,561.755108026437
119,Reduce_Reference,Reduce,Reference_GPU,1,strong,0.7214776627023984,721.4776627023984,SHP,SYCL,GPU,2000000000,1,56,1.0,554.4177189100247
6,Reduce_DR,Reduce,SHP_SYCL_GPU,1,strong,0.721602498208321,721.6024982083211,SHP,SYCL,GPU,2000000000,1,56,1.0,554.3218059709698
